市町村名,コード,振興局,ポータル,ほだっぷ,HP
岩内町,1402,後志総合振興局,0,1,1
増毛町,1481,留萌振興局,0,1,1
利尻富士町,1519,宗谷総合振興局,0,1,1
函館市,1202,渡島総合振興局,1,0,0
室蘭市,1205,胆振総合振興局,1,0,1
帯広市,1207,十勝総合振興局,1,0,1
千歳市,1224,石狩振興局,1,0,1
滝川市,1225,空知総合振興局,1,0,0
深川市,1228,空知総合振興局,1,0,1
富良野市,1229,上川総合振興局,1,0,1
登別市,1230,胆振総合振興局,1,0,1
恵庭市,1231,石狩振興局,1,0,0
北広島市,1234,石狩振興局,1,0,1
新篠津村,1304,石狩振興局,1,0,1
森町,1345,渡島総合振興局,1,0,1
八雲町,1346,渡島総合振興局,1,0,1
ニセコ町,1395,後志総合振興局,1,0,1
喜茂別町,1398,後志総合振興局,1,0,1
倶知安町,1400,後志総合振興局,1,0,1
月形町,1430,空知総合振興局,1,0,1
沼田町,1438,空知総合振興局,1,0,1
上富良野町,1460,上川総合振興局,1,0,1
占冠村,1463,上川総合振興局,1,0,1
中頓別町,1513,宗谷総合振興局,1,0,0
幌延町,1520,宗谷総合振興局,1,0,0
音更町,1631,十勝総合振興局,1,0,1
士幌町,1632,十勝総合振興局,1,0,0
上士幌町,1633,十勝総合振興局,1,0,0
鹿追町,1634,十勝総合振興局,1,0,1
中札内村,1638,十勝総合振興局,1,0,1
更別村,1639,十勝総合振興局,1,0,1
池田町,1644,十勝総合振興局,1,0,1
豊頃町,1645,十勝総合振興局,1,0,0
足寄町,1647,十勝総合振興局,1,0,1
厚岸町,1662,釧路総合振興局,1,0,0
浜中町,1663,釧路総合振興局,1,0,1
標茶町,1664,釧路総合振興局,1,0,0
弟子屈町,1665,釧路総合振興局,1,0,0
別海町,1691,根室振興局,1,0,1
札幌市,1101,石狩振興局,0,0,1
小樽市,1203,後志総合振興局,0,0,1
旭川市,1204,上川総合振興局,0,0,1
釧路市,1206,釧路総合振興局,0,0,0
北見市,1208,オホーツク総合振興局,0,0,0
夕張市,1209,空知総合振興局,0,0,0
岩見沢市,1210,空知総合振興局,0,0,0
網走市,1211,オホーツク総合振興局,0,0,0
留萌市,1212,留萌振興局,0,0,0
苫小牧市,1213,胆振総合振興局,0,0,0
稚内市,1214,宗谷総合振興局,0,0,0
美唄市,1215,空知総合振興局,0,0,0
芦別市,1216,空知総合振興局,0,0,0
江別市,1217,石狩振興局,0,0,0
赤平市,1218,空知総合振興局,0,0,0
紋別市,1219,オホーツク総合振興局,0,0,0
士別市,1220,上川総合振興局,0,0,0
名寄市,1221,上川総合振興局,0,0,1
三笠市,1222,空知総合振興局,0,0,0
根室市,1223,根室振興局,0,0,0
砂川市,1226,空知総合振興局,0,0,1
歌志内市,1227,空知総合振興局,0,0,0
伊達市,1233,胆振総合振興局,0,0,0
石狩市,1235,石狩振興局,0,0,0
北斗市,1236,渡島総合振興局,0,0,0
当別町,1303,石狩振興局,0,0,0
松前町,1331,渡島総合振興局,0,0,0
福島町,1332,渡島総合振興局,0,0,0
知内町,1333,渡島総合振興局,0,0,0
木古内町,1334,渡島総合振興局,0,0,0
七飯町,1337,渡島総合振興局,0,0,0
鹿部町,1343,渡島総合振興局,0,0,0
長万部町,1347,渡島総合振興局,0,0,0
江差町,1361,檜山振興局,0,0,0
上ノ国町,1362,檜山振興局,0,0,0
厚沢部町,1363,檜山振興局,0,0,0
乙部町,1364,檜山振興局,0,0,0
奥尻町,1367,檜山振興局,0,0,0
今金町,1370,檜山振興局,0,0,0
せたな町,1371,檜山振興局,0,0,0
